locus_tag	ftype	length_bp	gene	EC_number	COG	product
EEKMDCAF_00047	CDS	327				hypothetical protein
EEKMDCAF_00048	CDS	207	cspA_1		COG1278	Cold shock protein CspA
EEKMDCAF_00049	CDS	774	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
EEKMDCAF_00050	CDS	423				hypothetical protein
EEKMDCAF_00051	CDS	669				hypothetical protein
EEKMDCAF_00052	CDS	930				hypothetical protein
EEKMDCAF_00053	CDS	1053				hypothetical protein
EEKMDCAF_00054	CDS	2094				hypothetical protein
EEKMDCAF_00055	CDS	1197				hypothetical protein
EEKMDCAF_00056	CDS	159				hypothetical protein
EEKMDCAF_00057	CDS	219				hypothetical protein
EEKMDCAF_00058	CDS	216				hypothetical protein
EEKMDCAF_00059	CDS	1407	dinG_1	3.1.-.-		3'-5' exonuclease DinG
EEKMDCAF_00060	CDS	369				hypothetical protein
EEKMDCAF_00061	CDS	396				hypothetical protein
EEKMDCAF_00062	CDS	222				hypothetical protein
EEKMDCAF_00063	CDS	1251				hypothetical protein
EEKMDCAF_00064	CDS	450				hypothetical protein
EEKMDCAF_00065	CDS	1128				hypothetical protein
EEKMDCAF_00066	CDS	1854				hypothetical protein
EEKMDCAF_00067	CDS	1425	mtnN	3.2.2.9		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
EEKMDCAF_00068	CDS	162				hypothetical protein
EEKMDCAF_00069	CDS	1029				hypothetical protein
EEKMDCAF_00070	CDS	120				hypothetical protein
EEKMDCAF_00071	CDS	2250				hypothetical protein
EEKMDCAF_00072	CDS	864				hypothetical protein
EEKMDCAF_00073	CDS	321				hypothetical protein
EEKMDCAF_00074	CDS	375				hypothetical protein
EEKMDCAF_00075	CDS	1389				hypothetical protein
EEKMDCAF_00076	CDS	1287				hypothetical protein
EEKMDCAF_00077	CDS	408				hypothetical protein
EEKMDCAF_00078	CDS	693				hypothetical protein
EEKMDCAF_00079	CDS	990		1.1.1.215	COG1052	2-ketogluconate reductase
EEKMDCAF_00080	CDS	819	ribX_1			Riboflavin transport system permease protein RibX
EEKMDCAF_00081	CDS	816	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EEKMDCAF_00082	CDS	1023	ribY_1		COG0715	Riboflavin-binding protein RibY
EEKMDCAF_00083	CDS	807	crnA	3.5.2.10		Creatinine amidohydrolase
EEKMDCAF_00084	CDS	264				hypothetical protein
EEKMDCAF_00085	CDS	954				hypothetical protein
EEKMDCAF_00086	CDS	2028				hypothetical protein
EEKMDCAF_00087	CDS	2076				hypothetical protein
EEKMDCAF_00088	CDS	1299				hypothetical protein
EEKMDCAF_00089	CDS	240				hypothetical protein
EEKMDCAF_00090	CDS	1626				hypothetical protein
EEKMDCAF_00091	CDS	774	fpr_1	1.18.1.2	COG1018	Ferredoxin--NADP reductase
EEKMDCAF_00092	CDS	930				hypothetical protein
EEKMDCAF_00093	CDS	927	gltI_1		COG0834	Glutamate/aspartate import solute-binding protein
EEKMDCAF_00094	CDS	1299	gltP		COG1301	Proton/glutamate-aspartate symporter
EEKMDCAF_00095	CDS	1002	yfmJ	1.-.-.-	COG2130	Putative NADP-dependent oxidoreductase YfmJ
EEKMDCAF_00096	CDS	852				hypothetical protein
EEKMDCAF_00097	CDS	216				hypothetical protein
EEKMDCAF_00098	CDS	1155	sdgC	1.14.13.209		Salicyloyl-CoA 5-hydroxylase
EEKMDCAF_00099	CDS	1614	bclA_1	6.2.1.25		Benzoate--CoA ligase
EEKMDCAF_00100	CDS	513	nicR_1		COG1846	HTH-type transcriptional repressor NicR
EEKMDCAF_00101	CDS	633	nagL	5.2.1.4		Maleylpyruvate isomerase
EEKMDCAF_00102	CDS	1041	sdgD_1	1.13.11.4		Gentisate 1,2-dioxygenase
EEKMDCAF_00103	CDS	93				hypothetical protein
EEKMDCAF_00104	CDS	828	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
EEKMDCAF_00105	CDS	774	cmpD_1	3.6.3.-		Bicarbonate transport ATP-binding protein CmpD
EEKMDCAF_00106	CDS	1005				hypothetical protein
EEKMDCAF_00107	CDS	1365				hypothetical protein
EEKMDCAF_00108	CDS	885	dmlR_1			HTH-type transcriptional regulator DmlR
EEKMDCAF_00109	CDS	273				hypothetical protein
EEKMDCAF_00110	CDS	804	menB_1	4.1.3.36		1,4-dihydroxy-2-naphthoyl-CoA synthase
EEKMDCAF_00111	CDS	975				hypothetical protein
EEKMDCAF_00112	CDS	726				hypothetical protein
EEKMDCAF_00113	CDS	555	mcd	1.3.8.12	COG1960	(2S)-methylsuccinyl-CoA dehydrogenase
EEKMDCAF_00114	CDS	636	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
EEKMDCAF_00115	CDS	885	dmlR_2			HTH-type transcriptional regulator DmlR
EEKMDCAF_00116	CDS	429				hypothetical protein
EEKMDCAF_00117	CDS	459				hypothetical protein
EEKMDCAF_00118	CDS	552	tlpA_1		COG0526	Thiol:disulfide interchange protein TlpA
EEKMDCAF_00119	CDS	1140		3.1.1.-	COG3964	Deacetylase
EEKMDCAF_00120	tRNA	77				tRNA-Arg(cct)
EEKMDCAF_00121	CDS	354				hypothetical protein
EEKMDCAF_00122	CDS	294			COG4274	Glutamine synthetase and cystathionine beta-lyase binding protein
EEKMDCAF_00123	CDS	957				hypothetical protein
EEKMDCAF_00124	CDS	372				hypothetical protein
EEKMDCAF_00125	CDS	639	ligK_1	4.1.3.17	COG0684	4-carboxy-4-hydroxy-2-oxoadipate aldolase
EEKMDCAF_00126	CDS	1518	baiB	6.-.-.-	COG0318	Bile acid-coenzyme A ligase
EEKMDCAF_00127	CDS	1038				hypothetical protein
EEKMDCAF_00128	CDS	621				hypothetical protein
EEKMDCAF_00129	CDS	213				hypothetical protein
EEKMDCAF_00130	CDS	1002				hypothetical protein
EEKMDCAF_00131	CDS	594				hypothetical protein
EEKMDCAF_00132	CDS	273				hypothetical protein
EEKMDCAF_00133	CDS	786	gdh_1	1.1.1.47	COG1028	Glucose 1-dehydrogenase
EEKMDCAF_00134	CDS	1065		1.3.99.-		Acyl-CoA dehydrogenase FadE27
EEKMDCAF_00135	CDS	1161		1.3.99.-		Putative acyl-CoA dehydrogenase FadE17
EEKMDCAF_00136	CDS	813		4.2.1.150	COG1024	Crotonyl-CoA hydratase
EEKMDCAF_00137	CDS	2115	FCS1_1	6.2.1.34		Trans-feruloyl-CoA synthase FCS1
EEKMDCAF_00138	CDS	750				hypothetical protein
EEKMDCAF_00139	CDS	792	paaG_1	5.3.3.18	COG1024	1,2-epoxyphenylacetyl-CoA isomerase
EEKMDCAF_00140	CDS	1206				hypothetical protein
EEKMDCAF_00141	CDS	801				hypothetical protein
EEKMDCAF_00142	CDS	750				hypothetical protein
EEKMDCAF_00143	CDS	618				hypothetical protein
EEKMDCAF_00144	CDS	1425	yhjE			Inner membrane metabolite transport protein YhjE
EEKMDCAF_00145	CDS	1161				hypothetical protein
EEKMDCAF_00146	CDS	1998	cyoB_1	7.1.1.3	COG0843	Cytochrome bo(3) ubiquinol oxidase subunit 1
EEKMDCAF_00147	CDS	630	cyoC_1		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
EEKMDCAF_00148	CDS	381	cyoD		COG3125	Cytochrome bo(3) ubiquinol oxidase subunit 4
EEKMDCAF_00149	CDS	861				hypothetical protein
EEKMDCAF_00150	CDS	1398	regB_1	2.7.13.3		Sensor histidine kinase RegB
EEKMDCAF_00151	CDS	534	regA_1		COG4567	Photosynthetic apparatus regulatory protein RegA
EEKMDCAF_00152	CDS	789				hypothetical protein
EEKMDCAF_00153	CDS	339	fdxA		COG1146	Ferredoxin-2
EEKMDCAF_00154	CDS	231				hypothetical protein
EEKMDCAF_00155	CDS	3372				hypothetical protein
EEKMDCAF_00156	CDS	810				hypothetical protein
EEKMDCAF_00157	CDS	309	rpmB		COG0227	50S ribosomal protein L28
EEKMDCAF_00158	CDS	723				hypothetical protein
EEKMDCAF_00159	CDS	318				hypothetical protein
EEKMDCAF_00160	CDS	618				hypothetical protein
EEKMDCAF_00161	CDS	1260	ftsZ_1			Cell division protein FtsZ
EEKMDCAF_00162	CDS	549				hypothetical protein
EEKMDCAF_00163	CDS	141				hypothetical protein
EEKMDCAF_00164	CDS	279				hypothetical protein
EEKMDCAF_00165	CDS	297				hypothetical protein
EEKMDCAF_00166	CDS	297				hypothetical protein
EEKMDCAF_00167	CDS	99				hypothetical protein
EEKMDCAF_00168	CDS	348				hypothetical protein
EEKMDCAF_00169	CDS	1338				hypothetical protein
EEKMDCAF_00170	CDS	246				hypothetical protein
EEKMDCAF_00171	CDS	408				hypothetical protein
EEKMDCAF_00172	CDS	1113	namA_1	1.6.99.1	COG1902	NADPH dehydrogenase
EEKMDCAF_00173	CDS	702				hypothetical protein
EEKMDCAF_00174	CDS	1071				hypothetical protein
EEKMDCAF_00175	CDS	1908	cobT_1	6.6.1.2		Aerobic cobaltochelatase subunit CobT
EEKMDCAF_00176	CDS	411				hypothetical protein
EEKMDCAF_00177	CDS	999	cobS	6.6.1.2		Aerobic cobaltochelatase subunit CobS
EEKMDCAF_00178	CDS	660	yabI_1		COG0586	Inner membrane protein YabI
EEKMDCAF_00179	CDS	1218				hypothetical protein
EEKMDCAF_00180	CDS	1095	citA	2.3.3.16	COG0372	Citrate synthase 1
EEKMDCAF_00181	CDS	633				hypothetical protein
EEKMDCAF_00182	CDS	270	bolA		COG0271	DNA-binding transcriptional regulator BolA
EEKMDCAF_00183	CDS	1305				hypothetical protein
EEKMDCAF_00184	CDS	1149	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
EEKMDCAF_00185	CDS	624	aroK_1	2.7.1.71	COG0703	Shikimate kinase 1
EEKMDCAF_00186	CDS	147				hypothetical protein
EEKMDCAF_00187	CDS	957	xerD			Tyrosine recombinase XerD
EEKMDCAF_00188	CDS	951	accA_1	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
EEKMDCAF_00189	CDS	1539				hypothetical protein
EEKMDCAF_00190	CDS	696	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
EEKMDCAF_00191	CDS	735	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
EEKMDCAF_00192	CDS	1086				hypothetical protein
EEKMDCAF_00193	CDS	1218	amiC_1			Aliphatic amidase expression-regulating protein
EEKMDCAF_00194	CDS	858	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
EEKMDCAF_00195	CDS	1515		3.5.1.4		Amidase
EEKMDCAF_00196	CDS	1185	amiC_2			Aliphatic amidase expression-regulating protein
EEKMDCAF_00197	CDS	444				hypothetical protein
EEKMDCAF_00198	CDS	1053				hypothetical protein
EEKMDCAF_00199	CDS	2841	secA		COG0653	Protein translocase subunit SecA
EEKMDCAF_00200	CDS	924		5.2.1.8	COG0760	putative parvulin-type peptidyl-prolyl cis-trans isomerase
EEKMDCAF_00201	CDS	1242	oat2	2.3.1.35	COG1364	Glutamate N-acetyltransferase 2
EEKMDCAF_00202	CDS	411	nudG	3.6.1.65	COG0494	CTP pyrophosphohydrolase
EEKMDCAF_00203	CDS	849				hypothetical protein
EEKMDCAF_00204	CDS	798				hypothetical protein
EEKMDCAF_00205	CDS	276	grxC		COG0695	Glutaredoxin 3
EEKMDCAF_00206	CDS	879	nit1	3.5.1.128		Deaminated glutathione amidase
EEKMDCAF_00207	CDS	483				hypothetical protein
EEKMDCAF_00208	CDS	180				hypothetical protein
EEKMDCAF_00209	CDS	900				hypothetical protein
EEKMDCAF_00210	CDS	768	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
EEKMDCAF_00211	CDS	468				hypothetical protein
EEKMDCAF_00212	CDS	1242	lysC	2.7.2.4	COG0527	Aspartate kinase Ask_LysC
EEKMDCAF_00213	CDS	2268	ptsP	2.7.3.9	COG3605	Phosphoenolpyruvate-dependent phosphotransferase system
EEKMDCAF_00214	CDS	1086	prfA		COG0216	Peptide chain release factor RF1
EEKMDCAF_00215	CDS	894	prmC_1	2.1.1.297		Release factor glutamine methyltransferase
EEKMDCAF_00216	CDS	789				hypothetical protein
EEKMDCAF_00217	CDS	741				hypothetical protein
EEKMDCAF_00218	CDS	768	gloB_1	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloB
EEKMDCAF_00219	CDS	423				hypothetical protein
EEKMDCAF_00220	CDS	870	yddG			Methyl viologen resistance protein YddG
EEKMDCAF_00221	CDS	726	phaB_1	1.1.1.36		Acetoacetyl-CoA reductase
EEKMDCAF_00222	CDS	1179	phaA_1	2.3.1.9		Acetyl-CoA acetyltransferase
EEKMDCAF_00223	CDS	594				hypothetical protein
EEKMDCAF_00224	CDS	621				hypothetical protein
EEKMDCAF_00225	CDS	888	ilvE_1	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
EEKMDCAF_00226	CDS	936	nlhH_1	3.1.1.1	COG0657	Carboxylesterase NlhH
EEKMDCAF_00227	CDS	249				hypothetical protein
EEKMDCAF_00228	CDS	375				hypothetical protein
EEKMDCAF_00229	CDS	561				hypothetical protein
EEKMDCAF_00230	CDS	588				hypothetical protein
EEKMDCAF_00231	CDS	492				hypothetical protein
EEKMDCAF_00232	CDS	1158				hypothetical protein
EEKMDCAF_00233	CDS	987	occR_1			Octopine catabolism/uptake operon regulatory protein OccR
EEKMDCAF_00234	CDS	1461	hpyO_1	1.14.13.-	COG2072	FAD-dependent urate hydroxylase
EEKMDCAF_00235	CDS	1305	proP_1			Proline/betaine transporter
EEKMDCAF_00236	CDS	465	lrp_1		COG1522	Leucine-responsive regulatory protein
EEKMDCAF_00237	CDS	1014	acdS	3.5.99.7		1-aminocyclopropane-1-carboxylate deaminase
EEKMDCAF_00238	CDS	1866	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
EEKMDCAF_00239	CDS	744				hypothetical protein
EEKMDCAF_00240	CDS	1002	metAS_1	2.3.1.46		Homoserine O-succinyltransferase
EEKMDCAF_00241	CDS	1302		2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase
EEKMDCAF_00242	CDS	1575	aam_1	3.5.1.13	COG0154	Acylamidase
EEKMDCAF_00243	CDS	819				hypothetical protein
EEKMDCAF_00244	CDS	1611	dadD_1	3.5.4.31		5'-deoxyadenosine deaminase
EEKMDCAF_00245	CDS	1035	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
EEKMDCAF_00246	CDS	1239	ydhP_1		COG2814	Inner membrane transport protein YdhP
EEKMDCAF_00247	CDS	978	dmlR_3			HTH-type transcriptional regulator DmlR
EEKMDCAF_00248	CDS	798	allE	3.5.3.26	COG3257	(S)-ureidoglycine aminohydrolase
EEKMDCAF_00249	CDS	408				hypothetical protein
EEKMDCAF_00250	CDS	255				hypothetical protein
EEKMDCAF_00251	CDS	855	rhaR_1			HTH-type transcriptional activator RhaR
EEKMDCAF_00252	CDS	1878	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
EEKMDCAF_00253	CDS	672	todT_1			Response regulator protein TodT
EEKMDCAF_00254	CDS	378	todT_2			Response regulator protein TodT
EEKMDCAF_00255	CDS	1884	aaeB_1			p-hydroxybenzoic acid efflux pump subunit AaeB
EEKMDCAF_00256	CDS	204				hypothetical protein
EEKMDCAF_00257	CDS	1296	aaeA_1			p-hydroxybenzoic acid efflux pump subunit AaeA
EEKMDCAF_00258	CDS	1005	rhaR_2			HTH-type transcriptional activator RhaR
EEKMDCAF_00259	CDS	891	pksC	2.3.1.39	COG0331	Polyketide biosynthesis malonyl CoA-acyl carrier protein transacylase PksC
EEKMDCAF_00260	CDS	951				hypothetical protein
EEKMDCAF_00261	CDS	879	citG_1	2.4.2.52	COG1767	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
EEKMDCAF_00262	CDS	600	mdcG_1	2.7.7.66		Phosphoribosyl-dephospho-CoA transferase
EEKMDCAF_00263	CDS	723				hypothetical protein
EEKMDCAF_00264	CDS	939	madC_1	2.1.3.10		Malonyl-S-ACP:biotin-protein carboxyltransferase MADC
EEKMDCAF_00265	CDS	318	mdcC_1			Malonate decarboxylase acyl carrier protein
EEKMDCAF_00266	CDS	1647	madA_1	2.3.1.187		Acetyl-S-ACP:malonate ACP transferase
EEKMDCAF_00267	CDS	867				hypothetical protein
EEKMDCAF_00268	CDS	786				hypothetical protein
EEKMDCAF_00269	CDS	342				hypothetical protein
EEKMDCAF_00270	CDS	540				hypothetical protein
EEKMDCAF_00271	CDS	1173	mdtA_1			Multidrug resistance protein MdtA
EEKMDCAF_00272	CDS	3144	mdtB_1		COG0841	Multidrug resistance protein MdtB
EEKMDCAF_00273	CDS	417	flK_1	3.1.2.29	COG5496	Fluoroacetyl-CoA thioesterase
EEKMDCAF_00274	CDS	1755	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
EEKMDCAF_00275	CDS	2292	ydeP		COG0243	Protein YdeP
EEKMDCAF_00276	CDS	1248	oxdD	4.1.1.2	COG2140	Oxalate decarboxylase OxdD
EEKMDCAF_00277	CDS	987	appB_1	7.1.1.3	COG1294	Cytochrome bd-II ubiquinol oxidase subunit 2
EEKMDCAF_00278	CDS	1407	cydA	7.1.1.7	COG1271	Cytochrome bd-I ubiquinol oxidase subunit 1
EEKMDCAF_00279	CDS	1539	mqo	1.1.5.4	COG0579	Malate:quinone oxidoreductase
EEKMDCAF_00280	CDS	405				hypothetical protein
EEKMDCAF_00281	CDS	1437	fumC_1	4.2.1.2	COG0114	Fumarate hydratase class II
EEKMDCAF_00282	CDS	687				hypothetical protein
EEKMDCAF_00283	CDS	834	fdhD_1		COG1526	Sulfur carrier protein FdhD
EEKMDCAF_00284	CDS	600				hypothetical protein
EEKMDCAF_00285	CDS	501	mrgA		COG0783	Metalloregulation DNA-binding stress protein
EEKMDCAF_00286	CDS	564	yceJ_1		COG3038	Cytochrome b561 
EEKMDCAF_00287	CDS	1056	srpA_1	1.11.1.-	COG0753	Catalase-related peroxidase
EEKMDCAF_00288	CDS	882				hypothetical protein
EEKMDCAF_00289	CDS	2871				hypothetical protein
EEKMDCAF_00290	CDS	2853				hypothetical protein
EEKMDCAF_00291	CDS	282				hypothetical protein
EEKMDCAF_00292	CDS	243				hypothetical protein
EEKMDCAF_00293	CDS	1266				hypothetical protein
EEKMDCAF_00294	CDS	228				hypothetical protein
EEKMDCAF_00295	CDS	2898				hypothetical protein
EEKMDCAF_00296	CDS	702				hypothetical protein
EEKMDCAF_00297	CDS	1272	mdtA_2			Multidrug resistance protein MdtA
EEKMDCAF_00298	CDS	3183	czcA_1			Cobalt-zinc-cadmium resistance protein CzcA
EEKMDCAF_00299	CDS	924	rpoH_1		COG0568	RNA polymerase sigma factor RpoH
EEKMDCAF_00300	CDS	1425	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
EEKMDCAF_00301	CDS	681	czcR_1			Transcriptional activator protein CzcR
EEKMDCAF_00302	CDS	180				hypothetical protein
EEKMDCAF_00303	CDS	384				hypothetical protein
EEKMDCAF_00304	CDS	378				hypothetical protein
EEKMDCAF_00305	CDS	957	hexR		COG1737	HTH-type transcriptional regulator HexR
EEKMDCAF_00306	CDS	1542	appA_1			Oligopeptide-binding protein AppA
EEKMDCAF_00307	CDS	945	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
EEKMDCAF_00308	CDS	861	ddpC_1		COG1173	putative D,D-dipeptide transport system permease protein DdpC
EEKMDCAF_00309	CDS	975	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
EEKMDCAF_00310	CDS	957	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
EEKMDCAF_00311	CDS	879				hypothetical protein
EEKMDCAF_00312	CDS	2340				hypothetical protein
EEKMDCAF_00313	CDS	1953	nosZ	1.7.2.4	COG4263	Nitrous-oxide reductase
EEKMDCAF_00314	CDS	1362	nosD			putative ABC transporter binding protein NosD
EEKMDCAF_00315	CDS	909	nosF		COG1131	putative ABC transporter ATP-binding protein NosF
EEKMDCAF_00316	CDS	828	nosY		COG1277	putative ABC transporter permease protein NosY
EEKMDCAF_00317	CDS	549	nosL			Copper-binding lipoprotein NosL
EEKMDCAF_00318	CDS	999				hypothetical protein
EEKMDCAF_00319	tRNA	90				tRNA-Ser(gga)
EEKMDCAF_00320	CDS	342				hypothetical protein
EEKMDCAF_00321	CDS	1464	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
EEKMDCAF_00322	CDS	822	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
EEKMDCAF_00323	CDS	1485	nanT_1			Sialic acid transporter NanT
EEKMDCAF_00324	CDS	360				hypothetical protein
EEKMDCAF_00325	CDS	2034				hypothetical protein
EEKMDCAF_00326	CDS	2040				hypothetical protein
EEKMDCAF_00327	CDS	1167				hypothetical protein
EEKMDCAF_00328	CDS	1359	luxQ	2.7.13.3		Autoinducer 2 sensor kinase/phosphatase LuxQ
EEKMDCAF_00329	CDS	696	degU_1		COG2197	Transcriptional regulatory protein DegU
EEKMDCAF_00330	CDS	129				hypothetical protein
EEKMDCAF_00331	CDS	684	degU_2		COG2197	Transcriptional regulatory protein DegU
EEKMDCAF_00332	CDS	1173				hypothetical protein
EEKMDCAF_00333	CDS	1716	qheDH_1	1.1.9.1	COG4993	Quinohemoprotein alcohol dehydrogenase
EEKMDCAF_00334	CDS	450				hypothetical protein
EEKMDCAF_00335	CDS	486	coxS_1	1.2.5.3		Carbon monoxide dehydrogenase small chain
EEKMDCAF_00336	CDS	2343	cutL_1	1.2.5.3		Carbon monoxide dehydrogenase large chain
EEKMDCAF_00337	CDS	801	coxM_1	1.2.5.3		Carbon monoxide dehydrogenase medium chain
EEKMDCAF_00338	CDS	1113	uctC_1	2.8.3.19		Acetyl-CoA:oxalate CoA-transferase
EEKMDCAF_00339	CDS	1119	hpd	1.13.11.27		4-hydroxyphenylpyruvate dioxygenase
EEKMDCAF_00340	CDS	480	lrp_2		COG1522	Leucine-responsive regulatory protein
EEKMDCAF_00341	CDS	312				hypothetical protein
EEKMDCAF_00342	CDS	1272				hypothetical protein
EEKMDCAF_00343	CDS	1347	hmgA	1.13.11.5	COG3508	Homogentisate 1,2-dioxygenase
EEKMDCAF_00344	CDS	957				hypothetical protein
EEKMDCAF_00345	CDS	237				hypothetical protein
EEKMDCAF_00346	CDS	1629	tetX	1.14.13.231	COG0654	Flavin-dependent monooxygenase
EEKMDCAF_00347	CDS	543				hypothetical protein
EEKMDCAF_00348	CDS	300				hypothetical protein
EEKMDCAF_00349	CDS	408				hypothetical protein
EEKMDCAF_00350	CDS	807				hypothetical protein
EEKMDCAF_00351	CDS	1083				hypothetical protein
EEKMDCAF_00352	CDS	441				hypothetical protein
EEKMDCAF_00353	CDS	672	pal_1			Peptidoglycan-associated lipoprotein
EEKMDCAF_00354	CDS	930				hypothetical protein
EEKMDCAF_00355	CDS	3147	mdtC_1			Multidrug resistance protein MdtC
EEKMDCAF_00356	CDS	675			COG0664	Cyclic AMP receptor protein
EEKMDCAF_00357	CDS	2070				hypothetical protein
EEKMDCAF_00358	CDS	2448				hypothetical protein
EEKMDCAF_00359	CDS	867				hypothetical protein
EEKMDCAF_00360	CDS	1257				hypothetical protein
EEKMDCAF_00361	CDS	1026				hypothetical protein
EEKMDCAF_00362	CDS	693				hypothetical protein
EEKMDCAF_00363	CDS	2664				hypothetical protein
EEKMDCAF_00364	CDS	279				hypothetical protein
EEKMDCAF_00365	CDS	258				hypothetical protein
EEKMDCAF_00366	CDS	1695		1.1.3.47		5-(hydroxymethyl)furfural oxidase
EEKMDCAF_00367	CDS	123				hypothetical protein
EEKMDCAF_00368	CDS	138				hypothetical protein
EEKMDCAF_00369	CDS	1125	pgl_1	3.1.1.31	COG2706	6-phosphogluconolactonase
EEKMDCAF_00370	CDS	891				hypothetical protein
EEKMDCAF_00371	CDS	849				hypothetical protein
EEKMDCAF_00372	CDS	1728				hypothetical protein
EEKMDCAF_00373	CDS	723				hypothetical protein
EEKMDCAF_00374	CDS	1188	sgaA_1	2.6.1.45	COG0075	Serine--glyoxylate aminotransferase
EEKMDCAF_00375	CDS	1107				hypothetical protein
EEKMDCAF_00376	CDS	1437	patA	2.3.1.-	COG1696	Peptidoglycan O-acetyltransferase
EEKMDCAF_00377	CDS	2106	dapb1	3.4.14.-		Dipeptidyl aminopeptidase BI
EEKMDCAF_00378	CDS	720				hypothetical protein
EEKMDCAF_00379	CDS	1740		4.2.1.162		6-deoxy-6-sulfo-D-gluconate dehydratase
EEKMDCAF_00380	CDS	864				hypothetical protein
EEKMDCAF_00381	CDS	762	cmpD_2	3.6.3.-		Bicarbonate transport ATP-binding protein CmpD
